Group,Result,icon_index,N_total,Position,Row,Col
All Chicago Food Businesses,Pass,0,30947,0,0,0
All Chicago Food Businesses,Pass,1,30947,1,0,1
All Chicago Food Businesses,Pass,2,30947,2,0,2
All Chicago Food Businesses,Pass,3,30947,3,0,3
All Chicago Food Businesses,Pass,4,30947,4,0,4
All Chicago Food Businesses,Pass,5,30947,5,0,5
All Chicago Food Businesses,Pass,6,30947,6,0,6
All Chicago Food Businesses,Pass,7,30947,7,0,7
All Chicago Food Businesses,Pass,8,30947,8,0,8
All Chicago Food Businesses,Pass,9,30947,9,0,9
All Chicago Food Businesses,Pass,10,30947,10,1,0
All Chicago Food Businesses,Pass,11,30947,11,1,1
All Chicago Food Businesses,Pass,12,30947,12,1,2
All Chicago Food Businesses,Pass,13,30947,13,1,3
All Chicago Food Businesses,Pass,14,30947,14,1,4
All Chicago Food Businesses,Pass,15,30947,15,1,5
All Chicago Food Businesses,Pass,16,30947,16,1,6
All Chicago Food Businesses,Pass,17,30947,17,1,7
All Chicago Food Businesses,Pass,18,30947,18,1,8
All Chicago Food Businesses,Pass,19,30947,19,1,9
All Chicago Food Businesses,Pass,20,30947,20,2,0
All Chicago Food Businesses,Pass,21,30947,21,2,1
All Chicago Food Businesses,Pass,22,30947,22,2,2
All Chicago Food Businesses,Pass,23,30947,23,2,3
All Chicago Food Businesses,Pass,24,30947,24,2,4
All Chicago Food Businesses,Pass,25,30947,25,2,5
All Chicago Food Businesses,Pass,26,30947,26,2,6
All Chicago Food Businesses,Pass,27,30947,27,2,7
All Chicago Food Businesses,Pass,28,30947,28,2,8
All Chicago Food Businesses,Pass,29,30947,29,2,9
All Chicago Food Businesses,Pass,30,30947,30,3,0
All Chicago Food Businesses,Pass,31,30947,31,3,1
All Chicago Food Businesses,Pass,32,30947,32,3,2
All Chicago Food Businesses,Pass,33,30947,33,3,3
All Chicago Food Businesses,Pass,34,30947,34,3,4
All Chicago Food Businesses,Pass,35,30947,35,3,5
All Chicago Food Businesses,Pass,36,30947,36,3,6
All Chicago Food Businesses,Pass,37,30947,37,3,7
All Chicago Food Businesses,Pass,38,30947,38,3,8
All Chicago Food Businesses,Pass,39,30947,39,3,9
All Chicago Food Businesses,Pass,40,30947,40,4,0
All Chicago Food Businesses,Pass,41,30947,41,4,1
All Chicago Food Businesses,Pass,42,30947,42,4,2
All Chicago Food Businesses,Pass,43,30947,43,4,3
All Chicago Food Businesses,Pass,44,30947,44,4,4
All Chicago Food Businesses,Pass,45,30947,45,4,5
All Chicago Food Businesses,Pass,46,30947,46,4,6
All Chicago Food Businesses,Pass,47,30947,47,4,7
All Chicago Food Businesses,Pass,48,30947,48,4,8
All Chicago Food Businesses,Pass,49,30947,49,4,9
All Chicago Food Businesses,Pass,50,30947,50,5,0
All Chicago Food Businesses,Pass,51,30947,51,5,1
All Chicago Food Businesses,Pass,52,30947,52,5,2
All Chicago Food Businesses,Pass,53,30947,53,5,3
All Chicago Food Businesses,Pass w/ Conditions,0,30947,54,5,4
All Chicago Food Businesses,Pass w/ Conditions,1,30947,55,5,5
All Chicago Food Businesses,Pass w/ Conditions,2,30947,56,5,6
All Chicago Food Businesses,Pass w/ Conditions,3,30947,57,5,7
All Chicago Food Businesses,Pass w/ Conditions,4,30947,58,5,8
All Chicago Food Businesses,Pass w/ Conditions,5,30947,59,5,9
All Chicago Food Businesses,Pass w/ Conditions,6,30947,60,6,0
All Chicago Food Businesses,Pass w/ Conditions,7,30947,61,6,1
All Chicago Food Businesses,Pass w/ Conditions,8,30947,62,6,2
All Chicago Food Businesses,Pass w/ Conditions,9,30947,63,6,3
All Chicago Food Businesses,Pass w/ Conditions,10,30947,64,6,4
All Chicago Food Businesses,Pass w/ Conditions,11,30947,65,6,5
All Chicago Food Businesses,Fail,0,30947,66,6,6
All Chicago Food Businesses,Fail,1,30947,67,6,7
All Chicago Food Businesses,Fail,2,30947,68,6,8
All Chicago Food Businesses,Fail,3,30947,69,6,9
All Chicago Food Businesses,Fail,4,30947,70,7,0
All Chicago Food Businesses,Fail,5,30947,71,7,1
All Chicago Food Businesses,Fail,6,30947,72,7,2
All Chicago Food Businesses,Fail,7,30947,73,7,3
All Chicago Food Businesses,Fail,8,30947,74,7,4
All Chicago Food Businesses,Fail,9,30947,75,7,5
All Chicago Food Businesses,Fail,10,30947,76,7,6
All Chicago Food Businesses,Fail,11,30947,77,7,7
All Chicago Food Businesses,Fail,12,30947,78,7,8
All Chicago Food Businesses,Fail,13,30947,79,7,9
All Chicago Food Businesses,Fail,14,30947,80,8,0
All Chicago Food Businesses,Fail,15,30947,81,8,1
All Chicago Food Businesses,Fail,16,30947,82,8,2
All Chicago Food Businesses,Fail,17,30947,83,8,3
All Chicago Food Businesses,Fail,18,30947,84,8,4
All Chicago Food Businesses,Fail,19,30947,85,8,5
All Chicago Food Businesses,Fail,20,30947,86,8,6
All Chicago Food Businesses,Fail,21,30947,87,8,7
All Chicago Food Businesses,Fail,22,30947,88,8,8
All Chicago Food Businesses,Fail,23,30947,89,8,9
All Chicago Food Businesses,Fail,24,30947,90,9,0
All Chicago Food Businesses,Fail,25,30947,91,9,1
All Chicago Food Businesses,Fail,26,30947,92,9,2
All Chicago Food Businesses,Fail,27,30947,93,9,3
All Chicago Food Businesses,Fail,28,30947,94,9,4
All Chicago Food Businesses,Fail,29,30947,95,9,5
All Chicago Food Businesses,Fail,30,30947,96,9,6
All Chicago Food Businesses,Fail,31,30947,97,9,7
All Chicago Food Businesses,Fail,32,30947,98,9,8
All Chicago Food Businesses,Fail,33,30947,99,9,9
Mobile Food (trucks & carts),Pass,0,839,0,0,0
Mobile Food (trucks & carts),Pass,1,839,1,0,1
Mobile Food (trucks & carts),Pass,2,839,2,0,2
Mobile Food (trucks & carts),Pass,3,839,3,0,3
Mobile Food (trucks & carts),Pass,4,839,4,0,4
Mobile Food (trucks & carts),Pass,5,839,5,0,5
Mobile Food (trucks & carts),Pass,6,839,6,0,6
Mobile Food (trucks & carts),Pass,7,839,7,0,7
Mobile Food (trucks & carts),Pass,8,839,8,0,8
Mobile Food (trucks & carts),Pass,9,839,9,0,9
Mobile Food (trucks & carts),Pass,10,839,10,1,0
Mobile Food (trucks & carts),Pass,11,839,11,1,1
Mobile Food (trucks & carts),Pass,12,839,12,1,2
Mobile Food (trucks & carts),Pass,13,839,13,1,3
Mobile Food (trucks & carts),Pass,14,839,14,1,4
Mobile Food (trucks & carts),Pass,15,839,15,1,5
Mobile Food (trucks & carts),Pass,16,839,16,1,6
Mobile Food (trucks & carts),Pass,17,839,17,1,7
Mobile Food (trucks & carts),Pass,18,839,18,1,8
Mobile Food (trucks & carts),Pass,19,839,19,1,9
Mobile Food (trucks & carts),Pass,20,839,20,2,0
Mobile Food (trucks & carts),Pass,21,839,21,2,1
Mobile Food (trucks & carts),Pass,22,839,22,2,2
Mobile Food (trucks & carts),Pass,23,839,23,2,3
Mobile Food (trucks & carts),Pass,24,839,24,2,4
Mobile Food (trucks & carts),Pass,25,839,25,2,5
Mobile Food (trucks & carts),Pass,26,839,26,2,6
Mobile Food (trucks & carts),Pass,27,839,27,2,7
Mobile Food (trucks & carts),Pass,28,839,28,2,8
Mobile Food (trucks & carts),Pass,29,839,29,2,9
Mobile Food (trucks & carts),Pass,30,839,30,3,0
Mobile Food (trucks & carts),Pass,31,839,31,3,1
Mobile Food (trucks & carts),Pass,32,839,32,3,2
Mobile Food (trucks & carts),Pass,33,839,33,3,3
Mobile Food (trucks & carts),Pass,34,839,34,3,4
Mobile Food (trucks & carts),Pass,35,839,35,3,5
Mobile Food (trucks & carts),Pass,36,839,36,3,6
Mobile Food (trucks & carts),Pass,37,839,37,3,7
Mobile Food (trucks & carts),Pass,38,839,38,3,8
Mobile Food (trucks & carts),Pass,39,839,39,3,9
Mobile Food (trucks & carts),Pass,40,839,40,4,0
Mobile Food (trucks & carts),Pass,41,839,41,4,1
Mobile Food (trucks & carts),Pass,42,839,42,4,2
Mobile Food (trucks & carts),Pass,43,839,43,4,3
Mobile Food (trucks & carts),Pass,44,839,44,4,4
Mobile Food (trucks & carts),Pass,45,839,45,4,5
Mobile Food (trucks & carts),Pass,46,839,46,4,6
Mobile Food (trucks & carts),Pass,47,839,47,4,7
Mobile Food (trucks & carts),Pass,48,839,48,4,8
Mobile Food (trucks & carts),Pass,49,839,49,4,9
Mobile Food (trucks & carts),Pass,50,839,50,5,0
Mobile Food (trucks & carts),Pass,51,839,51,5,1
Mobile Food (trucks & carts),Pass,52,839,52,5,2
Mobile Food (trucks & carts),Pass,53,839,53,5,3
