zip_code,total_active,uninspected,pct_uninspected,low_volume
60601,168,0,0.0,False
60602,65,2,3.1,False
60603,85,1,1.2,False
60604,54,2,3.7,False
60605,149,2,1.3,False
60606,158,1,0.6,False
60607,283,0,0.0,False
60608,276,11,4.0,False
60609,193,5,2.6,False
60610,184,1,0.5,False
60611,341,1,0.3,False
60612,111,2,1.8,False
60613,215,1,0.5,False
60614,370,9,2.4,False
60615,105,0,0.0,False
60616,272,4,1.5,False
60617,166,1,0.6,False
60618,345,4,1.2,False
60619,161,7,4.3,False
60620,135,0,0.0,False
60621,54,0,0.0,False
60622,309,4,1.3,False
60623,197,4,2.0,False
60624,65,0,0.0,False
60625,251,8,3.2,False
60626,122,1,0.8,False
60628,116,0,0.0,False
60629,202,2,1.0,False
60630,133,0,0.0,False
60631,66,1,1.5,False
60632,256,4,1.6,False
60633,15,0,0.0,True
60634,191,1,0.5,False
60636,77,0,0.0,False
60637,105,2,1.9,False
60638,147,1,0.7,False
60639,278,10,3.6,False
60640,244,3,1.2,False
60641,169,1,0.6,False
60642,132,1,0.8,False
60643,108,1,0.9,False
60644,68,0,0.0,False
60645,54,0,0.0,False
60646,56,0,0.0,False
60647,383,7,1.8,False
60649,84,0,0.0,False
60651,117,5,4.3,False
60652,70,0,0.0,False
60653,62,0,0.0,False
60654,223,1,0.4,False
60655,41,0,0.0,False
60656,35,0,0.0,False
60657,300,3,1.0,False
60659,174,0,0.0,False
60660,125,0,0.0,False
60661,125,0,0.0,False
60666,163,0,0.0,False
60707,48,0,0.0,False
