Facility Type,Year,Results,Count,Percentage
Bakery,2010,Fail,62,27.8
Bakery,2010,Pass,154,69.06
Bakery,2010,Pass w/ Conditions,7,3.14
Bakery,2011,Fail,67,23.43
Bakery,2011,Pass,200,69.93
Bakery,2011,Pass w/ Conditions,19,6.64
Bakery,2012,Fail,61,26.87
Bakery,2012,Pass,154,67.84
Bakery,2012,Pass w/ Conditions,12,5.29
Bakery,2013,Fail,47,19.5
Bakery,2013,Pass,178,73.86
Bakery,2013,Pass w/ Conditions,16,6.64
Bakery,2014,Fail,69,23.0
Bakery,2014,Pass,203,67.67
Bakery,2014,Pass w/ Conditions,28,9.33
Bakery,2015,Fail,59,21.15
Bakery,2015,Pass,196,70.25
Bakery,2015,Pass w/ Conditions,24,8.6
Bakery,2016,Fail,82,25.47
Bakery,2016,Pass,207,64.29
Bakery,2016,Pass w/ Conditions,33,10.25
Bakery,2017,Fail,61,23.37
Bakery,2017,Pass,176,67.43
Bakery,2017,Pass w/ Conditions,24,9.2
Bakery,2018,Fail,57,28.5
Bakery,2018,Pass,69,34.5
Bakery,2018,Pass w/ Conditions,74,37.0
Bakery,2019,Fail,61,27.23
Bakery,2019,Pass,42,18.75
Bakery,2019,Pass w/ Conditions,121,54.02
Bakery,2020,Fail,59,30.26
Bakery,2020,Pass,67,34.36
Bakery,2020,Pass w/ Conditions,69,35.38
Bakery,2021,Fail,47,26.11
Bakery,2021,Pass,82,45.56
Bakery,2021,Pass w/ Conditions,51,28.33
Bakery,2022,Fail,42,23.08
Bakery,2022,Pass,106,58.24
Bakery,2022,Pass w/ Conditions,34,18.68
Bakery,2023,Fail,55,27.5
Bakery,2023,Pass,115,57.5
Bakery,2023,Pass w/ Conditions,30,15.0
Bakery,2024,Fail,54,23.48
Bakery,2024,Pass,140,60.87
Bakery,2024,Pass w/ Conditions,36,15.65
Bakery,2025,Fail,51,21.61
Bakery,2025,Pass,152,64.41
Bakery,2025,Pass w/ Conditions,33,13.98
Children's Services Facility,2010,Fail,35,16.99
Children's Services Facility,2010,Pass,170,82.52
Children's Services Facility,2010,Pass w/ Conditions,1,0.49
Children's Services Facility,2011,Fail,48,19.2
Children's Services Facility,2011,Pass,188,75.2
Children's Services Facility,2011,Pass w/ Conditions,14,5.6
Children's Services Facility,2012,Fail,32,14.22
Children's Services Facility,2012,Pass,180,80.0
Children's Services Facility,2012,Pass w/ Conditions,13,5.78
Children's Services Facility,2013,Fail,35,18.13
Children's Services Facility,2013,Pass,153,79.27
Children's Services Facility,2013,Pass w/ Conditions,5,2.59
Children's Services Facility,2014,Fail,43,24.86
Children's Services Facility,2014,Pass,125,72.25
Children's Services Facility,2014,Pass w/ Conditions,5,2.89
Children's Services Facility,2015,Fail,82,19.52
Children's Services Facility,2015,Pass,320,76.19
Children's Services Facility,2015,Pass w/ Conditions,18,4.29
Children's Services Facility,2016,Fail,80,17.58
Children's Services Facility,2016,Pass,346,76.04
Children's Services Facility,2016,Pass w/ Conditions,29,6.37
Children's Services Facility,2017,Fail,88,17.53
Children's Services Facility,2017,Pass,378,75.3
Children's Services Facility,2017,Pass w/ Conditions,36,7.17
Children's Services Facility,2018,Fail,91,17.64
Children's Services Facility,2018,Pass,163,31.59
Children's Services Facility,2018,Pass w/ Conditions,262,50.78
Children's Services Facility,2019,Fail,103,18.59
Children's Services Facility,2019,Pass,258,46.57
Children's Services Facility,2019,Pass w/ Conditions,193,34.84
Children's Services Facility,2020,Fail,77,19.01
Children's Services Facility,2020,Pass,264,65.19
Children's Services Facility,2020,Pass w/ Conditions,64,15.8
Children's Services Facility,2021,Fail,91,18.02
Children's Services Facility,2021,Pass,355,70.3
Children's Services Facility,2021,Pass w/ Conditions,59,11.68
Children's Services Facility,2022,Fail,101,19.24
Children's Services Facility,2022,Pass,379,72.19
Children's Services Facility,2022,Pass w/ Conditions,45,8.57
Children's Services Facility,2023,Fail,120,18.93
Children's Services Facility,2023,Pass,472,74.45
Children's Services Facility,2023,Pass w/ Conditions,42,6.62
Children's Services Facility,2024,Fail,109,17.67
Children's Services Facility,2024,Pass,459,74.39
Children's Services Facility,2024,Pass w/ Conditions,49,7.94
Children's Services Facility,2025,Fail,87,14.24
Children's Services Facility,2025,Pass,473,77.41
Children's Services Facility,2025,Pass w/ Conditions,51,8.35
Daycare (2 - 6 Years),2010,Fail,129,30.35
Daycare (2 - 6 Years),2010,Pass,286,67.29
Daycare (2 - 6 Years),2010,Pass w/ Conditions,10,2.35
Daycare (2 - 6 Years),2011,Fail,81,23.01
Daycare (2 - 6 Years),2011,Pass,258,73.3
Daycare (2 - 6 Years),2011,Pass w/ Conditions,13,3.69
Daycare (2 - 6 Years),2012,Fail,82,27.24
Daycare (2 - 6 Years),2012,Pass,210,69.77
Daycare (2 - 6 Years),2012,Pass w/ Conditions,9,2.99
Daycare (2 - 6 Years),2013,Fail,33,22.0
Daycare (2 - 6 Years),2013,Pass,114,76.0
Daycare (2 - 6 Years),2013,Pass w/ Conditions,3,2.0
Daycare (2 - 6 Years),2014,Fail,27,19.71
Daycare (2 - 6 Years),2014,Pass,107,78.1
Daycare (2 - 6 Years),2014,Pass w/ Conditions,3,2.19
Daycare (2 - 6 Years),2015,Fail,34,16.43
Daycare (2 - 6 Years),2015,Pass,158,76.33
Daycare (2 - 6 Years),2015,Pass w/ Conditions,15,7.25
Daycare (2 - 6 Years),2016,Fail,33,17.19
Daycare (2 - 6 Years),2016,Pass,156,81.25
Daycare (2 - 6 Years),2016,Pass w/ Conditions,3,1.56
Daycare (2 - 6 Years),2017,Fail,28,16.47
Daycare (2 - 6 Years),2017,Pass,137,80.59
Daycare (2 - 6 Years),2017,Pass w/ Conditions,5,2.94
Daycare (2 - 6 Years),2018,Fail,22,15.49
Daycare (2 - 6 Years),2018,Pass,41,28.87
Daycare (2 - 6 Years),2018,Pass w/ Conditions,79,55.63
Daycare (2 - 6 Years),2019,Fail,23,17.29
Daycare (2 - 6 Years),2019,Pass,67,50.38
Daycare (2 - 6 Years),2019,Pass w/ Conditions,43,32.33
Daycare (2 - 6 Years),2020,Fail,19,22.89
Daycare (2 - 6 Years),2020,Pass,56,67.47
Daycare (2 - 6 Years),2020,Pass w/ Conditions,8,9.64
Daycare (2 - 6 Years),2021,Fail,22,20.95
Daycare (2 - 6 Years),2021,Pass,71,67.62
Daycare (2 - 6 Years),2021,Pass w/ Conditions,12,11.43
Daycare (2 - 6 Years),2022,Fail,17,20.48
Daycare (2 - 6 Years),2022,Pass,61,73.49
Daycare (2 - 6 Years),2022,Pass w/ Conditions,5,6.02
Daycare (2 - 6 Years),2023,Fail,44,34.38
Daycare (2 - 6 Years),2023,Pass,80,62.5
Daycare (2 - 6 Years),2023,Pass w/ Conditions,4,3.12
Daycare (2 - 6 Years),2024,Fail,20,19.61
Daycare (2 - 6 Years),2024,Pass,74,72.55
Daycare (2 - 6 Years),2024,Pass w/ Conditions,8,7.84
Daycare (2 - 6 Years),2025,Fail,20,18.69
